query,estimated_rows,actual_rows,startup_cost,total_cost,execution_time_ms,q_error,correlation_feature,join_count,selectivity,predicate_count,estimated_selectivity,query_complexity,correlation_strength
"SELECT *
            FROM lineitem
            WHERE l_shipdate < '1992-01-01'
            AND l_commitdate < '1992-01-01'
            AND l_discount > 0.04;",1,0,1000.0,163311.89,363.859,1.0,0.9984,0,0.0,3,1e-06,0,0.0
"SELECT *
            FROM customer c
            JOIN orders o
            ON c.c_custkey = o.o_custkey
            JOIN lineitem l
            ON o.o_orderkey = l.l_orderkey
            WHERE o.o_totalprice > 21000
            AND l.l_discount > 0.04
            AND l.l_shipdate < '1992-01-01';",304,0,199251.06,203941.37,448.942,304.0,0.9984,2,0.0,6,1e-06,12,0.0
"SELECT *
            FROM lineitem
            WHERE l_shipdate < '1993-01-01'
            AND l_commitdate < '1993-01-01'
            AND l_discount > 0.04;",54072,391187,1000.0,168718.99,447.332,7.23455762686788,0.9984,0,0.0651846334450607,3,0.0651846334450607,0,0.0
"SELECT *
            FROM customer c
            JOIN orders o
            ON c.c_custkey = o.o_custkey
            JOIN lineitem l
            ON o.o_orderkey = l.l_orderkey
            WHERE o.o_totalprice > 21000
            AND l.l_discount > 0.04
            AND l.l_shipdate < '1993-01-01';",399904,407220,60432.85,286683.56,1698.779,1.018294390653757,0.9984,2,0.0678562591075307,6,0.0678562591075307,12,0.8142751092903684
"SELECT *
            FROM lineitem
            WHERE l_shipdate < '1994-01-01'
            AND l_commitdate < '1994-01-01'
            AND l_discount > 0.04;",254698,887768,1000.0,188781.59,499.46,3.4855711470054733,0.9984,0,0.1479313772294443,3,0.1479313772294443,0,0.0
"SELECT *
            FROM customer c
            JOIN orders o
            ON c.c_custkey = o.o_custkey
            JOIN lineitem l
            ON o.o_orderkey = l.l_orderkey
            WHERE o.o_totalprice > 21000
            AND l.l_discount > 0.04
            AND l.l_shipdate < '1994-01-01';",866198,896999,60432.85,355354.96,2216.805,1.03555884451361,0.9984,2,0.1494695657462697,6,0.1494695657462697,12,1.7936347889552366
"SELECT *
            FROM lineitem
            WHERE l_shipdate < '1995-01-01'
            AND l_commitdate < '1995-01-01'
            AND l_discount > 0.04;",605227,1382990,0.0,223575.5,1160.501,2.2850765084835936,0.9984,0,0.230451666870792,3,0.23045166687079197,0,0.0
"SELECT *
            FROM customer c
            JOIN orders o
            ON c.c_custkey = o.o_custkey
            JOIN lineitem l
            ON o.o_orderkey = l.l_orderkey
            WHERE o.o_totalprice > 21000
            AND l.l_discount > 0.04
            AND l.l_shipdate < '1995-01-01';",1337114,1385486,60432.85,424705.4,2529.42,1.0361764217561105,0.9984,2,0.2308675826478471,6,0.2308675826478471,12,2.770410991774165
"SELECT *
            FROM lineitem
            WHERE l_shipdate < '1996-01-01'
            AND l_commitdate < '1996-01-01'
            AND l_discount > 0.04;",1103612,1881985,0.0,223575.5,1220.304,1.7052958829733638,0.9984,0,0.3136006625325038,3,0.3136006625325038,0,0.0
"SELECT *
            FROM customer c
            JOIN orders o
            ON c.c_custkey = o.o_custkey
            JOIN lineitem l
            ON o.o_orderkey = l.l_orderkey
            WHERE o.o_totalprice > 21000
            AND l.l_discount > 0.04
            AND l.l_shipdate < '1996-01-01';",1803812,1877536,97971.35,489748.31,3734.666,1.0408712216128952,0.9984,2,0.3128593126558538,6,0.3128593126558538,12,3.7543117518702456
"SELECT *
            FROM lineitem
            WHERE l_shipdate < '1997-01-01'
            AND l_commitdate < '1997-01-01'
            AND l_discount > 0.04;",1742597,2379750,0.0,223575.5,1278.633,1.365634165558646,0.9984,0,0.3965446996983111,3,0.3965446996983111,0,0.0
"SELECT *
            FROM customer c
            JOIN orders o
            ON c.c_custkey = o.o_custkey
            JOIN lineitem l
            ON o.o_orderkey = l.l_orderkey
            WHERE o.o_totalprice > 21000
            AND l.l_discount > 0.04
            AND l.l_shipdate < '1997-01-01';",2268380,2368538,97971.35,544913.16,3900.933,1.0441539777285993,0.9984,2,0.3946764113600329,6,0.39467641136003295,12,4.7361169363203945
"SELECT *
        FROM orders
        WHERE o_orderstatus = 'P'
        AND o_totalprice > 21000;",36985,38381,1000.0,41745.5,133.179,1.0377450317696364,0.0258,0,0.0255873333333333,4,0.0255873333333333,0,0.0
"SELECT *
        FROM customer c
        JOIN orders o
        ON c.c_custkey = o.o_custkey
        WHERE o.o_orderstatus = 'P'
        AND o.o_totalprice > 21000;",36985,38381,38239.62,47130.46,165.239,1.0377450317696364,0.0258,1,0.0255873333333333,4,0.0255873333333333,4,0.1023493333333332
"SELECT *
            FROM lineitem
            WHERE l_shipdate < '1992-01-01'
            AND l_commitdate < '1992-01-01'
            AND l_discount > 0.04;",1,0,1000.0,163311.89,388.632,1.0,0.9984,0,0.0,3,1e-06,0,0.0
"SELECT *
            FROM customer c
            JOIN orders o
            ON c.c_custkey = o.o_custkey
            JOIN lineitem l
            ON o.o_orderkey = l.l_orderkey
            WHERE o.o_totalprice > 21000
            AND l.l_discount > 0.04
            AND l.l_shipdate < '1992-01-01';",304,0,199251.06,203941.37,457.839,304.0,0.9984,2,0.0,6,1e-06,12,0.0
"SELECT *
            FROM lineitem
            WHERE l_shipdate < '1993-01-01'
            AND l_commitdate < '1993-01-01'
            AND l_discount > 0.04;",54072,391187,1000.0,168718.99,446.128,7.23455762686788,0.9984,0,0.0651846334450607,3,0.0651846334450607,0,0.0
"SELECT *
            FROM customer c
            JOIN orders o
            ON c.c_custkey = o.o_custkey
            JOIN lineitem l
            ON o.o_orderkey = l.l_orderkey
            WHERE o.o_totalprice > 21000
            AND l.l_discount > 0.04
            AND l.l_shipdate < '1993-01-01';",399904,407220,60432.85,286683.56,1738.917,1.018294390653757,0.9984,2,0.0678562591075307,6,0.0678562591075307,12,0.8142751092903684
"SELECT *
            FROM lineitem
            WHERE l_shipdate < '1994-01-01'
            AND l_commitdate < '1994-01-01'
            AND l_discount > 0.04;",254698,887768,1000.0,188781.59,527.26,3.4855711470054733,0.9984,0,0.1479313772294443,3,0.1479313772294443,0,0.0
"SELECT *
            FROM customer c
            JOIN orders o
            ON c.c_custkey = o.o_custkey
            JOIN lineitem l
            ON o.o_orderkey = l.l_orderkey
            WHERE o.o_totalprice > 21000
            AND l.l_discount > 0.04
            AND l.l_shipdate < '1994-01-01';",866198,896999,60432.85,355354.96,2149.024,1.03555884451361,0.9984,2,0.1494695657462697,6,0.1494695657462697,12,1.7936347889552366
"SELECT *
            FROM lineitem
            WHERE l_shipdate < '1995-01-01'
            AND l_commitdate < '1995-01-01'
            AND l_discount > 0.04;",605227,1382990,0.0,223575.5,1139.287,2.2850765084835936,0.9984,0,0.230451666870792,3,0.23045166687079197,0,0.0
"SELECT *
            FROM customer c
            JOIN orders o
            ON c.c_custkey = o.o_custkey
            JOIN lineitem l
            ON o.o_orderkey = l.l_orderkey
            WHERE o.o_totalprice > 21000
            AND l.l_discount > 0.04
            AND l.l_shipdate < '1995-01-01';",1337114,1385486,60432.85,424705.4,2508.482,1.0361764217561105,0.9984,2,0.2308675826478471,6,0.2308675826478471,12,2.770410991774165
"SELECT *
            FROM lineitem
            WHERE l_shipdate < '1996-01-01'
            AND l_commitdate < '1996-01-01'
            AND l_discount > 0.04;",1103612,1881985,0.0,223575.5,1209.446,1.7052958829733638,0.9984,0,0.3136006625325038,3,0.3136006625325038,0,0.0
"SELECT *
            FROM customer c
            JOIN orders o
            ON c.c_custkey = o.o_custkey
            JOIN lineitem l
            ON o.o_orderkey = l.l_orderkey
            WHERE o.o_totalprice > 21000
            AND l.l_discount > 0.04
            AND l.l_shipdate < '1996-01-01';",1803812,1877536,97971.35,489748.31,3838.672,1.0408712216128952,0.9984,2,0.3128593126558538,6,0.3128593126558538,12,3.7543117518702456
"SELECT *
            FROM lineitem
            WHERE l_shipdate < '1997-01-01'
            AND l_commitdate < '1997-01-01'
            AND l_discount > 0.04;",1742597,2379750,0.0,223575.5,1262.319,1.365634165558646,0.9984,0,0.3965446996983111,3,0.3965446996983111,0,0.0
"SELECT *
            FROM customer c
            JOIN orders o
            ON c.c_custkey = o.o_custkey
            JOIN lineitem l
            ON o.o_orderkey = l.l_orderkey
            WHERE o.o_totalprice > 21000
            AND l.l_discount > 0.04
            AND l.l_shipdate < '1997-01-01';",2268380,2368538,97971.35,544913.16,3701.934,1.0441539777285993,0.9984,2,0.3946764113600329,6,0.39467641136003295,12,4.7361169363203945
"SELECT *
    FROM orders
    WHERE o_totalprice > 23500;",1420438,1419633,0.0,46422.0,346.681,1.0005670479623958,0.0258,0,0.946422,2,0.946422,0,0.0
"SELECT *
        FROM orders
        WHERE o_orderstatus = 'F'
        AND o_totalprice > 23500;",693837,689380,0.0,50172.0,325.668,1.006465229626621,0.0258,0,0.4595866666666666,4,0.45958666666666664,0,0.0
"SELECT *
        FROM customer c
        JOIN orders o
        ON c.c_custkey = o.o_custkey
        WHERE o.o_orderstatus = 'F'
        AND o.o_totalprice > 23500;",693837,689380,10545.0,96665.26,975.063,1.006465229626621,0.0258,1,0.4595866666666666,4,0.45958666666666664,4,1.8383466666666664
"SELECT *
            FROM lineitem
            WHERE l_shipdate < '1992-01-01'
            AND l_commitdate < '1992-01-01'
            AND l_discount > 0.04;",1,0,1000.0,163311.89,442.143,1.0,0.9984,0,0.0,3,1e-06,0,0.0
"SELECT *
            FROM customer c
            JOIN orders o
            ON c.c_custkey = o.o_custkey
            JOIN lineitem l
            ON o.o_orderkey = l.l_orderkey
            WHERE o.o_totalprice > 23500
            AND l.l_discount > 0.04
            AND l.l_shipdate < '1992-01-01';",302,0,199206.95,203897.05,481.984,302.0,0.9984,2,0.0,6,1e-06,12,0.0
"SELECT *
            FROM lineitem
            WHERE l_shipdate < '1993-01-01'
            AND l_commitdate < '1993-01-01'
            AND l_discount > 0.04;",54072,391187,1000.0,168718.99,446.422,7.23455762686788,0.9984,0,0.0651846334450607,3,0.0651846334450607,0,0.0
"SELECT *
            FROM customer c
            JOIN orders o
            ON c.c_custkey = o.o_custkey
            JOIN lineitem l
            ON o.o_orderkey = l.l_orderkey
            WHERE o.o_totalprice > 23500
            AND l.l_discount > 0.04
            AND l.l_shipdate < '1993-01-01';",397274,406271,60318.86,286162.33,1764.688,1.022646838202349,0.9984,2,0.0676981244631295,6,0.0676981244631295,12,0.8123774935575541
"SELECT *
            FROM lineitem
            WHERE l_shipdate < '1994-01-01'
            AND l_commitdate < '1994-01-01'
            AND l_discount > 0.04;",254698,887768,1000.0,188781.59,529.595,3.4855711470054733,0.9984,0,0.1479313772294443,3,0.1479313772294443,0,0.0
"SELECT *
            FROM customer c
            JOIN orders o
            ON c.c_custkey = o.o_custkey
            JOIN lineitem l
            ON o.o_orderkey = l.l_orderkey
            WHERE o.o_totalprice > 23500
            AND l.l_discount > 0.04
            AND l.l_shipdate < '1994-01-01';",860501,894959,60318.86,354433.58,2108.05,1.0400441138360097,0.9984,2,0.1491296345823304,6,0.1491296345823304,12,1.7895556149879646
"SELECT *
            FROM lineitem
            WHERE l_shipdate < '1995-01-01'
            AND l_commitdate < '1995-01-01'
            AND l_discount > 0.04;",605227,1382990,0.0,223575.5,1122.972,2.2850765084835936,0.9984,0,0.230451666870792,3,0.23045166687079197,0,0.0
"SELECT *
            FROM customer c
            JOIN orders o
            ON c.c_custkey = o.o_custkey
            JOIN lineitem l
            ON o.o_orderkey = l.l_orderkey
            WHERE o.o_totalprice > 23500
            AND l.l_discount > 0.04
            AND l.l_shipdate < '1995-01-01';",1328320,1382387,60318.86,423380.73,2549.37,1.0407032943868948,0.9984,2,0.2303511872179217,6,0.2303511872179217,12,2.7642142466150603
"SELECT *
            FROM lineitem
            WHERE l_shipdate < '1996-01-01'
            AND l_commitdate < '1996-01-01'
            AND l_discount > 0.04;",1103612,1881985,0.0,223575.5,1218.493,1.7052958829733638,0.9984,0,0.3136006625325038,3,0.3136006625325038,0,0.0
"SELECT *
            FROM customer c
            JOIN orders o
            ON c.c_custkey = o.o_custkey
            JOIN lineitem l
            ON o.o_orderkey = l.l_orderkey
            WHERE o.o_totalprice > 23500
            AND l.l_discount > 0.04
            AND l.l_shipdate < '1996-01-01';",1791949,1873310,97620.34,488049.4,3780.649,1.0454036359293708,0.9984,2,0.3121551219211443,6,0.3121551219211443,12,3.745861463053732
"SELECT *
            FROM lineitem
            WHERE l_shipdate < '1997-01-01'
            AND l_commitdate < '1997-01-01'
            AND l_discount > 0.04;",1742597,2379750,0.0,223575.5,1299.974,1.365634165558646,0.9984,0,0.3965446996983111,3,0.3965446996983111,0,0.0
"SELECT *
            FROM customer c
            JOIN orders o
            ON c.c_custkey = o.o_custkey
            JOIN lineitem l
            ON o.o_orderkey = l.l_orderkey
            WHERE o.o_totalprice > 23500
            AND l.l_discount > 0.04
            AND l.l_shipdate < '1997-01-01';",2253460,2363214,97620.34,542903.24,4077.148,1.0487046586138649,0.9984,2,0.3937892576753207,6,0.3937892576753207,12,4.725471092103849
"SELECT *
        FROM orders
        WHERE o_orderstatus = 'O'
        AND o_totalprice > 23500;",689859,691912,0.0,50172.0,320.366,1.002975970451933,0.0258,0,0.4612746666666666,4,0.4612746666666666,0,0.0
"SELECT *
        FROM customer c
        JOIN orders o
        ON c.c_custkey = o.o_custkey
        WHERE o.o_orderstatus = 'O'
        AND o.o_totalprice > 23500;",689859,691912,10545.0,96478.56,916.85,1.002975970451933,0.0258,1,0.4612746666666666,4,0.4612746666666666,4,1.8450986666666664
"SELECT *
            FROM lineitem
            WHERE l_shipdate < '1992-01-01'
            AND l_commitdate < '1992-01-01'
            AND l_discount > 0.04;",1,0,1000.0,163311.89,380.317,1.0,0.9984,0,0.0,3,1e-06,0,0.0
"SELECT *
            FROM customer c
            JOIN orders o
            ON c.c_custkey = o.o_custkey
            JOIN lineitem l
            ON o.o_orderkey = l.l_orderkey
            WHERE o.o_totalprice > 23500
            AND l.l_discount > 0.04
            AND l.l_shipdate < '1992-01-01';",302,0,199206.95,203897.05,461.06,302.0,0.9984,2,0.0,6,1e-06,12,0.0
"SELECT *
            FROM lineitem
            WHERE l_shipdate < '1993-01-01'
            AND l_commitdate < '1993-01-01'
            AND l_discount > 0.04;",54072,391187,1000.0,168718.99,504.728,7.23455762686788,0.9984,0,0.0651846334450607,3,0.0651846334450607,0,0.0
"SELECT *
            FROM customer c
            JOIN orders o
            ON c.c_custkey = o.o_custkey
            JOIN lineitem l
            ON o.o_orderkey = l.l_orderkey
            WHERE o.o_totalprice > 23500
            AND l.l_discount > 0.04
            AND l.l_shipdate < '1993-01-01';",397274,406271,60318.86,286162.33,1985.014,1.022646838202349,0.9984,2,0.0676981244631295,6,0.0676981244631295,12,0.8123774935575541
"SELECT *
            FROM lineitem
            WHERE l_shipdate < '1994-01-01'
            AND l_commitdate < '1994-01-01'
            AND l_discount > 0.04;",254698,887768,1000.0,188781.59,543.446,3.4855711470054733,0.9984,0,0.1479313772294443,3,0.1479313772294443,0,0.0
"SELECT *
            FROM customer c
            JOIN orders o
            ON c.c_custkey = o.o_custkey
            JOIN lineitem l
            ON o.o_orderkey = l.l_orderkey
            WHERE o.o_totalprice > 23500
            AND l.l_discount > 0.04
            AND l.l_shipdate < '1994-01-01';",860501,894959,60318.86,354433.58,2415.14,1.0400441138360097,0.9984,2,0.1491296345823304,6,0.1491296345823304,12,1.7895556149879646
"SELECT *
            FROM lineitem
            WHERE l_shipdate < '1995-01-01'
            AND l_commitdate < '1995-01-01'
            AND l_discount > 0.04;",605227,1382990,0.0,223575.5,1268.688,2.2850765084835936,0.9984,0,0.230451666870792,3,0.23045166687079197,0,0.0
"SELECT *
            FROM customer c
            JOIN orders o
            ON c.c_custkey = o.o_custkey
            JOIN lineitem l
            ON o.o_orderkey = l.l_orderkey
            WHERE o.o_totalprice > 23500
            AND l.l_discount > 0.04
            AND l.l_shipdate < '1995-01-01';",1328320,1382387,60318.86,423380.73,3015.297,1.0407032943868948,0.9984,2,0.2303511872179217,6,0.2303511872179217,12,2.7642142466150603
"SELECT *
            FROM lineitem
            WHERE l_shipdate < '1996-01-01'
            AND l_commitdate < '1996-01-01'
            AND l_discount > 0.04;",1103612,1881985,0.0,223575.5,1316.201,1.7052958829733638,0.9984,0,0.3136006625325038,3,0.3136006625325038,0,0.0
"SELECT *
            FROM customer c
            JOIN orders o
            ON c.c_custkey = o.o_custkey
            JOIN lineitem l
            ON o.o_orderkey = l.l_orderkey
            WHERE o.o_totalprice > 23500
            AND l.l_discount > 0.04
            AND l.l_shipdate < '1996-01-01';",1791949,1873310,97620.34,488049.4,3913.585,1.0454036359293708,0.9984,2,0.3121551219211443,6,0.3121551219211443,12,3.745861463053732
"SELECT *
            FROM lineitem
            WHERE l_shipdate < '1997-01-01'
            AND l_commitdate < '1997-01-01'
            AND l_discount > 0.04;",1742597,2379750,0.0,223575.5,1363.447,1.365634165558646,0.9984,0,0.3965446996983111,3,0.3965446996983111,0,0.0
"SELECT *
            FROM customer c
            JOIN orders o
            ON c.c_custkey = o.o_custkey
            JOIN lineitem l
            ON o.o_orderkey = l.l_orderkey
            WHERE o.o_totalprice > 23500
            AND l.l_discount > 0.04
            AND l.l_shipdate < '1997-01-01';",2253460,2363214,97620.34,542903.24,4218.91,1.0487046586138649,0.9984,2,0.3937892576753207,6,0.3937892576753207,12,4.725471092103849
"SELECT *
        FROM orders
        WHERE o_orderstatus = 'P'
        AND o_totalprice > 23500;",36742,38341,1000.0,41721.2,142.01,1.0435196777529805,0.0258,0,0.0255606666666666,4,0.0255606666666666,0,0.0
"SELECT *
        FROM customer c
        JOIN orders o
        ON c.c_custkey = o.o_custkey
        WHERE o.o_orderstatus = 'P'
        AND o.o_totalprice > 23500;",36742,38341,38238.36,47104.48,188.397,1.0435196777529805,0.0258,1,0.0255606666666666,4,0.0255606666666666,4,0.1022426666666664
"SELECT *
            FROM lineitem
            WHERE l_shipdate < '1992-01-01'
            AND l_commitdate < '1992-01-01'
            AND l_discount > 0.04;",1,0,1000.0,163311.89,443.339,1.0,0.9984,0,0.0,3,1e-06,0,0.0
"SELECT *
            FROM customer c
            JOIN orders o
            ON c.c_custkey = o.o_custkey
            JOIN lineitem l
            ON o.o_orderkey = l.l_orderkey
            WHERE o.o_totalprice > 23500
            AND l.l_discount > 0.04
            AND l.l_shipdate < '1992-01-01';",302,0,199206.95,203897.05,475.873,302.0,0.9984,2,0.0,6,1e-06,12,0.0
"SELECT *
            FROM lineitem
            WHERE l_shipdate < '1993-01-01'
            AND l_commitdate < '1993-01-01'
            AND l_discount > 0.04;",54072,391187,1000.0,168718.99,475.856,7.23455762686788,0.9984,0,0.0651846334450607,3,0.0651846334450607,0,0.0
"SELECT *
            FROM customer c
            JOIN orders o
            ON c.c_custkey = o.o_custkey
            JOIN lineitem l
            ON o.o_orderkey = l.l_orderkey
            WHERE o.o_totalprice > 23500
            AND l.l_discount > 0.04
            AND l.l_shipdate < '1993-01-01';",397274,406271,60318.86,286162.33,1868.28,1.022646838202349,0.9984,2,0.0676981244631295,6,0.0676981244631295,12,0.8123774935575541
"SELECT *
            FROM lineitem
            WHERE l_shipdate < '1994-01-01'
            AND l_commitdate < '1994-01-01'
            AND l_discount > 0.04;",254698,887768,1000.0,188781.59,539.018,3.4855711470054733,0.9984,0,0.1479313772294443,3,0.1479313772294443,0,0.0
"SELECT *
            FROM customer c
            JOIN orders o
            ON c.c_custkey = o.o_custkey
            JOIN lineitem l
            ON o.o_orderkey = l.l_orderkey
            WHERE o.o_totalprice > 23500
            AND l.l_discount > 0.04
            AND l.l_shipdate < '1994-01-01';",860501,894959,60318.86,354433.58,2255.425,1.0400441138360097,0.9984,2,0.1491296345823304,6,0.1491296345823304,12,1.7895556149879646
"SELECT *
            FROM lineitem
            WHERE l_shipdate < '1995-01-01'
            AND l_commitdate < '1995-01-01'
            AND l_discount > 0.04;",605227,1382990,0.0,223575.5,1156.669,2.2850765084835936,0.9984,0,0.230451666870792,3,0.23045166687079197,0,0.0
"SELECT *
            FROM customer c
            JOIN orders o
            ON c.c_custkey = o.o_custkey
            JOIN lineitem l
            ON o.o_orderkey = l.l_orderkey
            WHERE o.o_totalprice > 23500
            AND l.l_discount > 0.04
            AND l.l_shipdate < '1995-01-01';",1328320,1382387,60318.86,423380.73,2569.756,1.0407032943868948,0.9984,2,0.2303511872179217,6,0.2303511872179217,12,2.7642142466150603
"SELECT *
            FROM lineitem
            WHERE l_shipdate < '1996-01-01'
            AND l_commitdate < '1996-01-01'
            AND l_discount > 0.04;",1103612,1881985,0.0,223575.5,1253.984,1.7052958829733638,0.9984,0,0.3136006625325038,3,0.3136006625325038,0,0.0
"SELECT *
            FROM customer c
            JOIN orders o
            ON c.c_custkey = o.o_custkey
            JOIN lineitem l
            ON o.o_orderkey = l.l_orderkey
            WHERE o.o_totalprice > 23500
            AND l.l_discount > 0.04
            AND l.l_shipdate < '1996-01-01';",1791949,1873310,97620.34,488049.4,3777.271,1.0454036359293708,0.9984,2,0.3121551219211443,6,0.3121551219211443,12,3.745861463053732
"SELECT *
            FROM lineitem
            WHERE l_shipdate < '1997-01-01'
            AND l_commitdate < '1997-01-01'
            AND l_discount > 0.04;",1742597,2379750,0.0,223575.5,1347.898,1.365634165558646,0.9984,0,0.3965446996983111,3,0.3965446996983111,0,0.0
"SELECT *
            FROM customer c
            JOIN orders o
            ON c.c_custkey = o.o_custkey
            JOIN lineitem l
            ON o.o_orderkey = l.l_orderkey
            WHERE o.o_totalprice > 23500
            AND l.l_discount > 0.04
            AND l.l_shipdate < '1997-01-01';",2253460,2363214,97620.34,542903.24,4082.019,1.0487046586138649,0.9984,2,0.3937892576753207,6,0.3937892576753207,12,4.725471092103849
"SELECT *
    FROM orders
    WHERE o_totalprice > 26000;",1410356,1409190,0.0,46422.0,351.032,1.0008274256842584,0.0258,0,0.93946,2,0.93946,0,0.0
"SELECT *
        FROM orders
        WHERE o_orderstatus = 'F'
        AND o_totalprice > 26000;",688912,684221,0.0,50172.0,331.57,1.0068559719739674,0.0258,0,0.4561473333333333,4,0.4561473333333333,0,0.0
"SELECT *
        FROM customer c
        JOIN orders o
        ON c.c_custkey = o.o_custkey
        WHERE o.o_orderstatus = 'F'
        AND o.o_totalprice > 26000;",688912,684221,10545.0,96435.54,933.782,1.0068559719739674,0.0258,1,0.4561473333333333,4,0.4561473333333333,4,1.8245893333333332
"SELECT *
            FROM lineitem
            WHERE l_shipdate < '1992-01-01'
            AND l_commitdate < '1992-01-01'
            AND l_discount > 0.04;",1,0,1000.0,163311.89,402.394,1.0,0.9984,0,0.0,3,1e-06,0,0.0
"SELECT *
            FROM customer c
            JOIN orders o
            ON c.c_custkey = o.o_custkey
            JOIN lineitem l
            ON o.o_orderkey = l.l_orderkey
            WHERE o.o_totalprice > 26000
            AND l.l_discount > 0.04
            AND l.l_shipdate < '1992-01-01';",300,0,199159.68,203849.57,474.608,300.0,0.9984,2,0.0,6,1e-06,12,0.0
"SELECT *
            FROM lineitem
            WHERE l_shipdate < '1993-01-01'
            AND l_commitdate < '1993-01-01'
            AND l_discount > 0.04;",54072,391187,1000.0,168718.99,465.942,7.23455762686788,0.9984,0,0.0651846334450607,3,0.0651846334450607,0,0.0
"SELECT *
            FROM customer c
            JOIN orders o
            ON c.c_custkey = o.o_custkey
            JOIN lineitem l
            ON o.o_orderkey = l.l_orderkey
            WHERE o.o_totalprice > 26000
            AND l.l_discount > 0.04
            AND l.l_shipdate < '1993-01-01';",394454,405256,60196.35,285601.62,1766.511,1.0273846887089495,0.9984,2,0.0675289920457773,6,0.0675289920457773,12,0.8103479045493276
"SELECT *
            FROM lineitem
            WHERE l_shipdate < '1994-01-01'
            AND l_commitdate < '1994-01-01'
            AND l_discount > 0.04;",254698,887768,1000.0,188781.59,541.628,3.4855711470054733,0.9984,0,0.1479313772294443,3,0.1479313772294443,0,0.0
"SELECT *
            FROM customer c
            JOIN orders o
            ON c.c_custkey = o.o_custkey
            JOIN lineitem l
            ON o.o_orderkey = l.l_orderkey
            WHERE o.o_totalprice > 26000
            AND l.l_discount > 0.04
            AND l.l_shipdate < '1994-01-01';",854394,892798,60196.35,353445.62,2174.401,1.0449488175244677,0.9984,2,0.1487695408346476,6,0.1487695408346476,12,1.7852344900157713
"SELECT *
            FROM lineitem
            WHERE l_shipdate < '1995-01-01'
            AND l_commitdate < '1995-01-01'
            AND l_discount > 0.04;",605227,1382990,0.0,223575.5,1173.825,2.2850765084835936,0.9984,0,0.230451666870792,3,0.23045166687079197,0,0.0
"SELECT *
            FROM customer c
            JOIN orders o
            ON c.c_custkey = o.o_custkey
            JOIN lineitem l
            ON o.o_orderkey = l.l_orderkey
            WHERE o.o_totalprice > 26000
            AND l.l_discount > 0.04
            AND l.l_shipdate < '1995-01-01';",1318892,1379098,60196.35,421959.95,2612.299,1.0456489234903237,0.9984,2,0.2298031315325313,6,0.2298031315325313,12,2.7576375783903755
"SELECT *
            FROM lineitem
            WHERE l_shipdate < '1996-01-01'
            AND l_commitdate < '1996-01-01'
            AND l_discount > 0.04;",1103612,1881985,0.0,223575.5,1278.884,1.7052958829733638,0.9984,0,0.3136006625325038,3,0.3136006625325038,0,0.0
"SELECT *
            FROM customer c
            JOIN orders o
            ON c.c_custkey = o.o_custkey
            JOIN lineitem l
            ON o.o_orderkey = l.l_orderkey
            WHERE o.o_totalprice > 26000
            AND l.l_discount > 0.04
            AND l.l_shipdate < '1996-01-01';",1779230,1868894,97242.56,486225.65,3767.234,1.0503948337202047,0.9984,2,0.3114192709309698,6,0.3114192709309698,12,3.737031251171638
"SELECT *
            FROM lineitem
            WHERE l_shipdate < '1997-01-01'
            AND l_commitdate < '1997-01-01'
            AND l_discount > 0.04;",1742597,2379750,0.0,223575.5,1316.353,1.365634165558646,0.9984,0,0.3965446996983111,3,0.3965446996983111,0,0.0
"SELECT *
            FROM customer c
            JOIN orders o
            ON c.c_custkey = o.o_custkey
            JOIN lineitem l
            ON o.o_orderkey = l.l_orderkey
            WHERE o.o_totalprice > 26000
            AND l.l_discount > 0.04
            AND l.l_shipdate < '1997-01-01';",2237466,2357651,97242.56,540746.3,4007.405,1.053714782705078,0.9984,2,0.3928622787218921,6,0.3928622787218921,12,4.7143473446627056
"SELECT *
        FROM orders
        WHERE o_orderstatus = 'O'
        AND o_totalprice > 26000;",684963,686672,0.0,50172.0,331.346,1.0024950252787377,0.0258,0,0.4577813333333333,4,0.4577813333333333,0,0.0
"SELECT *
        FROM customer c
        JOIN orders o
        ON c.c_custkey = o.o_custkey
        WHERE o.o_orderstatus = 'O'
        AND o.o_totalprice > 26000;",684963,686672,10545.0,96249.24,1000.411,1.0024950252787377,0.0258,1,0.4577813333333333,4,0.4577813333333333,4,1.8311253333333333
"SELECT *
            FROM lineitem
            WHERE l_shipdate < '1992-01-01'
            AND l_commitdate < '1992-01-01'
            AND l_discount > 0.04;",1,0,1000.0,163311.89,409.4,1.0,0.9984,0,0.0,3,1e-06,0,0.0
"SELECT *
            FROM customer c
            JOIN orders o
            ON c.c_custkey = o.o_custkey
            JOIN lineitem l
            ON o.o_orderkey = l.l_orderkey
            WHERE o.o_totalprice > 26000
            AND l.l_discount > 0.04
            AND l.l_shipdate < '1992-01-01';",300,0,199159.68,203849.57,514.013,300.0,0.9984,2,0.0,6,1e-06,12,0.0
"SELECT *
            FROM lineitem
            WHERE l_shipdate < '1993-01-01'
            AND l_commitdate < '1993-01-01'
            AND l_discount > 0.04;",54072,391187,1000.0,168718.99,535.141,7.23455762686788,0.9984,0,0.0651846334450607,3,0.0651846334450607,0,0.0
